Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Roles,,,,2020-02-17 13:23:57,2020-02-17 13:24:12,14.976s,ERROR
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Create Role/Create a Role,,,,2020-02-17 13:23:58,2020-02-17 13:24:02,4.554s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 13:23:59,2020-02-17 13:23:59,0.091s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 13:23:59,2020-02-17 13:24:00,0.947s,FAILED
"click(findTestObject(""ROLES/Roles_page/Create Role_button""))",,,,2020-02-17 13:24:00,2020-02-17 13:24:00,0.256s,FAILED
"sendKeys(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""), findTestData(""xlsx files/Roles"").getValue(3, 1))",,,,2020-02-17 13:24:00,2020-02-17 13:24:00,0.139s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 13:24:00,2020-02-17 13:24:00,0.157s,FAILED
Video,,,,2020-02-17 13:24:02,2020-02-17 13:24:02,0.002s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Role Listing grid/Search for an Existing Role,,,,2020-02-17 13:24:02,2020-02-17 13:24:05,2.753s,ERROR
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 13:24:03,2020-02-17 13:24:03,0.012s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 13:24:03,2020-02-17 13:24:03,0.009s,NOT_RUN
"sendKeys(findTestObject(""ROLES/Roles_page/Search Box""), findTestData(""null"").getValue(3, 1) + ENTER)",,,,2020-02-17 13:24:03,2020-02-17 13:24:03,0.077s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 13:24:03,2020-02-17 13:24:03,0.102s,FAILED
Video,,,,2020-02-17 13:24:05,2020-02-17 13:24:05,0.001s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Edit Role/Edit a Role,,,,2020-02-17 13:24:05,2020-02-17 13:24:09,4.026s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 13:24:05,2020-02-17 13:24:05,0.012s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 13:24:05,2020-02-17 13:24:05,0.013s,NOT_RUN
"click(findTestObject(""ROLES/Roles_page/Hamburger/button_hamburger""))",,,,2020-02-17 13:24:05,2020-02-17 13:24:05,0.085s,FAILED
delay(1),,,,2020-02-17 13:24:05,2020-02-17 13:24:06,1.047s,PASSED
"click(findTestObject(""ROLES/Roles_page/Hamburger/a_Edit""))",,,,2020-02-17 13:24:06,2020-02-17 13:24:07,0.077s,FAILED
"click(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""))",,,,2020-02-17 13:24:07,2020-02-17 13:24:07,0.064s,FAILED
"click(findTestObject(""ROLES/Create Role/New Role_page/Clear_button""))",,,,2020-02-17 13:24:07,2020-02-17 13:24:07,0.109s,FAILED
"sendKeys(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""), findTestData(""xlsx files/Roles"").getValue(3, 2))",,,,2020-02-17 13:24:07,2020-02-17 13:24:07,0.138s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 13:24:07,2020-02-17 13:24:07,0.113s,FAILED
Video,,,,2020-02-17 13:24:09,2020-02-17 13:24:09,0.001s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Change Status/Change the status,,,,2020-02-17 13:24:09,2020-02-17 13:24:12,3.280s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 13:24:09,2020-02-17 13:24:09,0.014s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 13:24:09,2020-02-17 13:24:09,0.001s,NOT_RUN
"click(findTestObject(""ROLES/Roles_page/Hamburger/button_hamburger""))",,,,2020-02-17 13:24:09,2020-02-17 13:24:09,0.078s,FAILED
"click(findTestObject(""ROLES/Roles_page/Hamburger/a_Change Status""))",,,,2020-02-17 13:24:09,2020-02-17 13:24:10,0.192s,FAILED
"click(findTestObject(""ROLES/Change Status/Archived""))",,,,2020-02-17 13:24:10,2020-02-17 13:24:10,0.219s,FAILED
"click(findTestObject(""ROLES/Change Status/Confirm_button""))",,,,2020-02-17 13:24:10,2020-02-17 13:24:10,0.222s,FAILED
"verifyElementText(findTestObject(""ROLES/Change Status/status_archived""), findTestData(""xlsx files/Roles"").getValue(5, 2))",,,,2020-02-17 13:24:10,2020-02-17 13:24:10,0.081s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 13:24:10,2020-02-17 13:24:10,0.062s,FAILED
Video,,,,2020-02-17 13:24:12,2020-02-17 13:24:12,0.002s,PASSED
